individualID,specimenID,specimenIdSource,organ,tissue,BrodmannArea,sampleStatus,tissueWeight,tissueVolume,nucleicAcidSource,cellType,fastingState,isPostMortem,samplingAge,samplingAgeUnits,visitNumber,assay,exclude,excludeReason,samplingDate,platform,RIN,rnaBatch,libraryBatch,sequencingBatch,libraryPrep,libraryPreparationMethod,isStranded,readStrandOrigin,runType,readLength,notes
R1743384,525_120515,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.2,,0,0,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1721075,332_120501,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.1,,1,1,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1710143,684_120604,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.7,,2,2,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1687970,690_120604,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.7,,4,4,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1672797,24_120411,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.4,,6,6,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1664857,704_120605,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.9,,5,5,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1660726,298_120430,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.6,,3,3,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1658200,367_120502,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.8,,4,4,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1620679,257_120426,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.6,,5,5,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1617674,204_120424,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.5,,3,3,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1588427,306_120430,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.1,,6,6,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1583702,256_120426,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.9,,5,5,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1547566,646_120524,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.9,,5,5,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1531359,429_120507,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.6,,6,6,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1521786,140_120419,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.7,,3,3,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1489314,706_120605,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.1,,4,4,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1476204,472_120514,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.6,,3,3,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1407047,610_120523,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.2,,0,0,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1365120,701_120605,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.8,,5,5,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1344510,206_120424,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.4,,1,1,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1287407,443_120507,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.9,,2,2,polyAselection,,True,,pairedEnd,101,data contribution batch 1
