Gene,Gene_name,In_OMIM,In_OpenTargets_Platform,OpenTargets_score,OpenTargets_sources,In_ClinVar,In_SZDB,Databases
TUFM,"Tu translation elongation factor, mitochondrial",N,Y,0.03982592412397978,gwas_credible_sets,N,N,OpenTargets_Platform
TUSC1,tumor suppressor candidate 1,N,Y,0.1926409694812542,gwas_credible_sets,N,N,OpenTargets_Platform
TUSC2,"tumor suppressor 2, mitochondrial calcium regulator",N,Y,0.03965144641829749,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
TWF2,twinfilin actin binding protein 2,N,Y,0.2980377423317186,gwas_credible_sets,N,N,OpenTargets_Platform
TWIST1,twist family bHLH transcription factor 1,Y,Y,0.0691683478161991,gwas_credible_sets|europepmc,N,N,OMIM|OpenTargets_Platform
TWIST2,twist family bHLH transcription factor 2,N,Y,0.1963442542533376,gwas_credible_sets,N,N,OpenTargets_Platform
TXNL1,thioredoxin like 1,N,Y,0.2169072162456124,gwas_credible_sets,N,N,OpenTargets_Platform
TXNL4B,thioredoxin like 4B,N,Y,0.033170926192448213,gwas_credible_sets,N,N,OpenTargets_Platform
TXNRD1,thioredoxin reductase 1,N,Y,0.3411674929513668,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
TYW1B,tRNA-yW synthesizing protein 1 homolog B,N,Y,0.04481672329854725,gwas_credible_sets,N,N,OpenTargets_Platform
TYW5,tRNA-yW synthesizing protein 5,N,Y,0.4179746471385717,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
UBA3,ubiquitin like modifier activating enzyme 3,N,Y,0.02828312647127081,gwas_credible_sets,N,N,OpenTargets_Platform
UBE2D3,ubiquitin conjugating enzyme E2 D3,N,Y,0.040161246633970554,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
UBE2L6,ubiquitin conjugating enzyme E2 L6,N,Y,0.019994324976628286,gwas_credible_sets,N,N,OpenTargets_Platform
UBE2Z,ubiquitin conjugating enzyme E2 Z,N,Y,0.0737480013190318,gwas_credible_sets,N,N,OpenTargets_Platform
UBE3D,ubiquitin protein ligase E3D,N,Y,0.11495055454029417,gwas_credible_sets,N,N,OpenTargets_Platform
